participant_id,trial_index,interface_source,target_color_name,target_hex,clicked_color_name,clicked_hex,time_taken_ms,is_correct
Sean,66,round2,Green,#04F994,Green,#04F994,1619.1999998092651,True
Sean,67,round2,Orange,#FEBC02,Orange,#FEBC02,1584.4000000953674,True
Sean,68,round2,Green,#04F994,Green,#04F994,2531.2999999523163,True
Sean,69,round2,Orange,#FEBC02,Orange,#FEBC02,1198.9000000953674,True
Sean,70,round2,Red,#E04747,Red,#E04747,1796.1000001430511,True
Sean,71,round1,Brown,#D4681B,Brown,#D4681B,2824.0,True
Sean,72,round2,Green,#04F994,Green,#04F994,2716.9000000953674,True
Sean,73,original,Red,#FF0000,Purple,#7030A0,2060.0999999046326,False
Sean,74,round2,Purple,#7030A0,Purple,#7030A0,2269.2000000476837,True
Sean,75,round1,Green,#92D050,Green,#92D050,1514.8999998569489,True
Sean,76,round2,Orange,#FEBC02,Orange,#FEBC02,1579.7000000476837,True
Sean,77,original,Yellow,#FFFF00,Yellow,#FFFF00,1032.2999999523163,True
Sean,78,original,Green,#9DE951,Green,#9DE951,2068.7000000476837,True
Sean,79,original,Blue,#002F8E,Blue,#002F8E,1196.7999999523163,True
Sean,80,original,Purple,#7030A0,Purple,#7030A0,1412.5,True
Sean,81,round2,Orange,#FEBC02,Orange,#FEBC02,1403.7999999523163,True
Sean,82,round2,Yellow,#FFFF00,Yellow,#FFFF00,1064.7000000476837,True
Sean,83,original,Yellow,#FFFF00,Yellow,#FFFF00,1512.7999999523163,True
Sean,84,round2,Blue,#82EEFD,Blue,#82EEFD,1248.7000000476837,True
Sean,85,round2,Yellow,#FFFF00,Yellow,#FFFF00,1261.2000000476837,True
Sean,86,round2,Purple,#7030A0,Purple,#7030A0,1230.2000000476837,True
Sean,87,original,Blue,#002F8E,Blue,#002F8E,1747.2999999523163,True
Sean,88,round2,Purple,#7030A0,Purple,#7030A0,1303.3999998569489,True
Sean,89,round2,Orange,#FEBC02,Orange,#FEBC02,1677.5,True
Sean,90,round2,Yellow,#FFFF00,Yellow,#FFFF00,1134.8999998569489,True
Sean,91,round1,Red,#ED1E24,Red,#ED1E24,1686.4000000953674,True
Sean,92,original,Purple,#7030A0,Blue,#002F8E,1620.5999999046326,False
Sean,93,round2,Orange,#FEBC02,Yellow,#FFFF00,2178.9000000953674,False
Sean,94,round2,Orange,#FEBC02,Orange,#FEBC02,1278.5999999046326,True
Sean,95,round1,Green,#92D050,Orange,#FEBC02,1035.2999999523163,False
Sean,96,round2,Purple,#7030A0,Purple,#7030A0,1880.9000000953674,True
Sean,97,round2,Yellow,#FFFF00,Yellow,#FFFF00,2581.7999999523163,True
